用户ID,好坏客户,年龄,负债率,月收入,家属数量
41671,0,54,1008,,0
41672,0,58,0.05038609,18000,2
41673,0,37,0.007383479,6500,0
41674,1,59,0.103226728,7003,0
41675,0,70,0.218477849,5281,0
41676,0,56,0.509310919,13800,0
41677,0,47,0.425574743,9438,1
41678,0,54,5414,,0
41679,0,55,0,6900,0
41680,0,40,0.34824345,15000,2
41681,0,46,0.13191867,12393,1
41682,1,41,0.927334796,4100,2
41683,0,81,0.006283919,3500,0
41684,0,53,0.320524836,3200,0
41685,0,72,0.293440428,3734,0
41686,0,62,0.177792591,10500,0
41687,0,46,0.517337383,3950,3
41688,0,54,0.68143952,3000,0
41689,0,64,473,,2
41690,0,49,0.084192529,19300,2
41691,0,43,0.49958368,1200,1
41692,0,51,3143,,0
41693,0,27,0.101161594,6800,0
41694,0,34,1.735891648,3100,0
41695,0,57,0.363292967,9000,2
41696,0,38,0.17187748,6300,2
41697,0,78,0.010427082,7000,0
41698,0,37,4218,,0
41699,0,84,0.006116927,8500,0
41700,0,53,0.000142837,7000,0
41701,0,55,0.167373751,7306,1
41702,0,63,0.492945326,3401,0
41703,0,46,0.489404238,2500,0
41704,0,66,0.63363697,4500,0
41705,1,53,0.362909273,4000,0
41706,0,54,0.359870849,10839,2
41707,0,34,0.379436655,7916,2
41708,0,63,0.499656593,2911,1
41709,0,58,0.292633189,7845,0
41710,0,45,0.215729838,4500,0
41711,0,31,0.055194805,3695,0
41712,0,43,0.083596656,25000,0
41713,0,67,0.240697093,14000,0
41714,0,60,209,,0
41715,0,49,0.558573571,6000,2
41716,0,50,0.299952008,6250,2
41717,0,64,0.115668674,8800,1
41718,0,53,0.070191026,4501,0
41719,0,56,793,,0
41720,1,28,0.087598191,4200,0
41721,0,48,0.280143971,5000,0
41722,0,57,0.448728203,6250,0
41723,0,42,0.139965009,4000,4
41724,0,51,0.306336708,8000,2
41725,0,46,0.357565253,9807,0
41726,0,54,0.436071018,7828,0
41727,1,53,0.291444154,8800,3
41728,0,53,622,,2
41729,0,51,3941,,0
41730,0,51,2423,,0
41731,0,70,0.013993003,2000,0
41732,0,25,0,2500,0
41733,0,68,0.020947393,4200,1
41734,0,65,0.383578815,3190,0
41735,0,43,0.01059788,5000,0
41736,0,55,0.364539716,16000,0
41737,0,66,0.005142367,10500,0
41738,0,62,384,,0
41739,1,46,0.152880207,15050,3
41740,0,54,686,,0
41741,0,70,922,,0
41742,0,35,0.554481839,3000,1
41743,0,28,551.5,1,0
41744,0,33,0.500648028,5400,0
41745,0,26,345,0,0
41746,0,56,0.594632768,3539,0
41747,0,35,0.581437342,8306,2
41748,0,62,0.015315933,150300,0
41749,0,57,1.299233589,3000,0
41750,0,46,0.152507799,8333,0
41751,0,55,0.379231263,10900,2
41752,0,39,414,,
41753,0,40,1264,,0
41754,0,53,0.282964629,8000,2
41755,0,39,0.374754817,8666,1
41756,0,55,0.420954412,3750,0
41757,0,25,30,0,0
41758,0,61,0.075273978,12500,0
41759,0,55,0.322910851,5372,5
41760,0,38,0.216030159,6100,2
41761,0,47,0.248715691,13625,1
41762,0,62,2877,,0
41763,0,42,0.284886248,6900,5
41764,0,77,30,,
41765,0,26,0.24715057,1666,0
41766,0,40,0.453493825,6396,0
41767,0,45,0.110991813,7450,3
41768,0,35,0.610837438,7916,1
41769,0,47,0.29061823,6000,0
41770,0,57,0.257227101,15600,0
41771,0,81,33,,
41772,0,34,0.162801771,21000,0
41773,0,57,0.717939578,11220,0
41774,0,58,1358,,0
41775,0,78,0.304828112,10500,0
41776,0,67,0.432567433,1000,0
41777,0,51,0.436529191,5600,2
41778,0,39,0.464875059,4241,1
41779,0,36,0.220602527,4115,2
41780,0,62,0.372231289,8577,2
41781,0,45,0.332111315,6000,5
41782,0,35,0.862941176,1699,2
41783,0,48,0.212188191,9500,1
41784,0,34,0.311413673,3451,1
41785,0,26,0.209264527,2460,0
41786,0,34,0.28169633,4550,2
41787,0,70,698,,0
41788,0,48,5,,
41789,0,63,128,,0
41790,0,41,4706,,0
41791,0,92,0.683946046,3780,0
41792,0,32,608.5,1,0
41793,0,44,0.227446625,8102,1
41794,0,72,0.007971201,11666,0
41795,0,25,0.205517793,2500,0
41796,0,57,0.214973804,5916,1
41797,0,50,0.420138062,4200,3
41798,0,85,0.08122449,2449,1
41799,0,71,100,,
41800,0,26,0.090931018,4145,0
41801,0,67,31,,0
41802,0,39,0.468055684,10846,1
41803,0,36,0.4381036,10250,2
41804,0,55,1327,,0
41805,0,54,39,,0
41806,0,49,0.465804067,5950,2
41807,0,66,911,,0
41808,0,58,0.468185607,3598,1
41809,0,53,0.30743509,5083,2
41810,0,40,0.467535602,8285,2
41811,0,31,0.27373873,10425,1
41812,0,58,0.280171388,4200,2
41813,0,43,1.256092608,4923,0
41814,0,29,0.588810891,4700,1
41815,0,60,0.848537866,4000,0
41816,0,27,0.29149078,4500,1
41817,0,32,0,8833,0
41818,0,55,514,,
41819,0,42,0.278658976,5547,3
41820,0,57,0.351359426,6693,0
41821,0,51,0.357886843,12000,2
41822,1,24,449,,0
41823,0,47,0.547426781,8296,0
41824,0,78,23,,
41825,0,51,0.363818091,2000,0
41826,1,36,0.418759019,3464,3
41827,0,58,0.512279018,12500,3
41828,0,33,0.339441899,2400,1
41829,0,44,0.589675828,5675,0
41830,0,60,655,,0
41831,0,51,0.219898342,12000,2
41832,0,56,0.29443447,4455,0
41833,0,32,0.438771095,2310,0
41834,1,55,2178,,0
41835,0,72,0.24177579,3130,0
41836,0,31,0.330417396,4000,0
41837,0,33,0.345219267,6954,2
41838,0,61,0.367058011,17375,1
41839,0,67,0.251483911,3200,1
41840,0,43,0.136896751,5200,3
41841,0,45,0.334410091,6500,3
41842,0,34,0.330834583,2000,0
41843,0,34,42,,0
41844,0,73,536,0,1
41845,0,32,0.15,5619,0
41846,0,60,1.962115233,2533,0
41847,0,59,0.179210061,5088,0
41848,0,56,2665,,0
41849,0,54,0.474917763,9727,0
41850,0,44,0.253666066,11660,3
41851,0,76,0.030763315,5200,0
41852,0,46,0.66255144,1700,2
41853,0,59,0.008951528,10500,0
41854,0,40,0.007471134,4416,1
41855,0,59,0.392178647,9000,3
41856,1,29,0.426143464,4000,0
41857,1,32,0.013410729,4995,2
41858,0,63,0.1667117,3700,0
41859,0,59,0.149318019,9750,0
41860,0,54,0.348085449,12404,2
41861,0,39,0.203597356,9228,0
41862,0,72,0.00319968,10000,1
41863,0,50,0.439373526,5937,1
41864,0,43,0.016040371,11096,2
41865,0,74,0.023541453,2930,0
41866,0,49,0.651623787,2370,3
41867,0,72,1129,,0
41868,1,48,0.511306832,4200,1
41869,0,46,3099,,0
41870,0,34,0,,0
41871,1,42,0.426992897,3800,1
41872,0,40,0.306836645,8000,2
41873,0,64,0.173383448,14366,1
41874,0,35,0.281045752,10250,2
41875,0,34,0.33427762,6000,1
41876,1,76,1461,,
41877,0,76,0.194972147,7000,0
41878,0,35,0.046700943,2333,0
41879,0,57,0.268582136,1600,0
41880,0,65,0.358183376,1166,0
41881,0,55,0.314210724,8000,2
41882,0,48,0.66222328,4200,2
41883,0,60,0.157710572,4000,0
41884,0,73,0.025994801,5000,0
41885,0,58,0.535548627,13150,2
41886,0,39,1459,,2
41887,0,39,462,,0
41888,0,63,0.244801285,12454,0
41889,0,50,0.197600229,10500,0
41890,1,63,0.103200592,9466,0
41891,0,65,0.569454225,11359,1
41892,0,43,1068,,0
41893,0,68,1340,,0
41894,0,49,0.586978131,8047,0
41895,0,44,0.163231927,3056,1
41896,0,73,0.169457636,4000,0
41897,0,48,5669,,0
41898,0,56,3022,,0
41899,0,64,0.242328875,3812,0
41900,0,47,0.241739318,9290,0
41901,0,65,1795,,1
41902,0,57,0.189946328,7638,0
41903,0,36,0.441376027,8400,2
41904,0,40,0.547626474,16030,1
41905,0,46,0.286059074,8700,1
41906,0,38,2922,,2
41907,0,46,0.254334645,9400,0
41908,0,62,0.485177866,7083,1
41909,0,70,0.009831695,6000,0
41910,0,70,0.234137291,5389,1
41911,0,78,37,,0
41912,0,62,0.17329004,14166,0
41913,0,49,0.036902381,5500,5
41914,0,33,0.143792038,5500,0
41915,0,46,320,,0
41916,0,46,0.342236823,7000,3
41917,0,41,0.373518902,5316,3
41918,0,38,0.210478952,10000,2
41919,0,24,0.127574083,1990,0
41920,0,43,0.385791653,12555,3
41921,0,56,0.420407782,10691,2
41922,0,48,2.182348043,1200,2
41923,0,41,0.53231912,14000,1
41924,0,33,0.363179916,5974,0
41925,0,41,0.299967127,6083,0
41926,0,48,0.27808846,5900,3
41927,0,40,1351,,2
41928,0,62,108,,0
41929,1,39,0.623857956,5800,0
41930,1,40,0.434666667,1499,1
41931,1,39,0.230769231,1000,2
41932,0,33,0.838053982,3000,1
41933,0,65,1996.5,1,0
41934,0,53,0.584598089,5336,0
41935,0,64,544,,0
41936,0,52,0.610851809,3427,1
41937,1,58,0.638429376,5500,0
41938,0,54,0.478541763,6500,0
41939,0,39,0.407235706,11000,3
41940,0,50,0.4777113,11866,0
41941,0,52,0.696371086,6833,2
41942,0,43,0.337922054,10750,2
41943,1,43,0.69259767,5835,0
41944,0,29,0.004658385,7083,0
41945,1,26,0,,0
41946,0,55,0.530771634,3200,0
41947,0,32,0.148716518,3583,0
41948,0,62,0.233576642,11233,1
41949,0,45,0.142040946,6300,0
41950,0,56,1.155514536,6500,0
41951,0,53,0.64906775,5416,0
41952,0,57,0.255514706,2719,1
41953,0,50,0.478137075,9833,2
41954,0,45,2250,,0
41955,0,43,0.471700249,8833,0
41956,1,27,0.12395868,3000,0
41957,0,47,389,,0
41958,0,75,0,,
41959,0,47,0.271432142,4000,5
41960,0,45,0.000422119,2368,0
41961,0,56,1116,,0
41962,0,37,0.323032176,5500,0
41963,1,35,0.374363188,6084,3
41964,0,46,0.24062075,12500,0
41965,0,46,2163,0,0
41966,0,48,0.235341173,12500,2
41967,0,32,0.298713235,5439,1
41968,0,64,1456,,0
41969,0,63,0.006313131,791,0
41970,0,65,0.00312989,7667,0
41971,0,72,0.199976473,8500,0
41972,0,41,275,,0
41973,0,52,0.285624291,7936,1
41974,0,53,0.236157271,15946,1
41975,0,51,0.653875138,17250,0
41976,1,42,0.442737807,3710,2
41977,0,59,446,,1
41978,0,38,2633,,0
41979,0,42,0.060381769,7700,4
41980,0,73,0.251902701,6700,0
41981,1,55,0.132851696,4982,0
41982,0,79,3237,,0
41983,0,55,1.213261649,1115,0
41984,0,48,0.69535008,7483,0
41985,0,35,1479,,0
41986,0,27,0.113563479,5300,3
41987,0,52,10.6119403,200,7
41988,0,34,0.054800575,9050,3
41989,0,51,0.56179514,8600,3
41990,0,57,0.173253676,2175,0
41991,0,50,0.700599943,10500,1
41992,0,48,0.884603022,3110,3
41993,0,56,0.103778302,14000,3
41994,0,74,0.208930233,5374,1
41995,0,49,0.516849555,15400,2
41996,0,53,0.528677706,4166,0
41997,0,49,0.392783839,9256,0
41998,0,76,100,,1
41999,1,73,0.212158273,13899,0
42000,0,44,0.197518097,2900,0
42001,0,33,0.197795071,3083,0
42002,0,40,0.172394366,12424,1
42003,0,59,0.551288795,1900,0
42004,0,35,0.200076511,5227,0
42005,0,24,0.170637971,1300,0
42006,0,39,0.474682025,8333,2
42007,0,73,0.248937553,20000,2
42008,0,39,0.515105412,4600,1
42009,0,47,0.341655278,30000,4
42010,0,40,0.362341772,1895,1
42011,0,62,0.367118915,7517,0
42012,0,63,555,,0
42013,0,28,0.646264626,2221,1
42014,0,46,0.471531676,3740,0
42015,0,63,0.779131521,3200,0
42016,0,59,0.274787535,6000,0
42017,0,60,0.139343033,6666,1
42018,0,39,0.118578173,3600,1
42019,0,56,2417,0,2
42020,0,56,1.304836895,2666,0
42021,0,52,0.374418204,5800,0
42022,0,36,0.712914834,2500,3
42023,0,51,0.171443807,7500,0
42024,0,42,0.004999375,8000,0
42025,0,35,0.329280156,6167,1
42026,0,63,0.407331453,3900,1
42027,0,47,0.473032714,7916,0
42028,0,38,0.801389327,3166,1
42029,0,67,3492,,0
42030,0,62,25,,0
42031,0,49,0.763525477,5082,2
42032,0,79,0.008758568,5251,0
42033,0,38,0.055797971,18333,0
42034,0,52,0.152401747,2289,0
42035,0,54,1.2015,5999,1
42036,0,31,0.386522695,5000,0
42037,0,29,0.19021886,3700,0
42038,0,68,0.196700825,4000,0
42039,0,54,9.15E-05,10933,1
42040,0,39,0.355973591,11056,2
42041,0,37,0.3557263,9630,3
42042,0,88,0,,0
42043,0,60,318,,0
42044,0,74,23,,
42045,0,80,0.289883268,3083,0
42046,0,34,1005,,0
42047,0,28,0.073985203,5000,0
42048,0,49,0.187325256,8583,0
42049,0,67,0.221561531,3867,0
42050,0,72,0.006397441,2500,0
42051,0,48,0.217062582,20500,3
42052,1,42,0.214506453,5500,3
42053,0,38,0.012905749,2556,0
42054,0,48,0.275520699,23333,3
42055,0,51,0.22293991,5108,4
42056,0,33,27,,0
42057,0,47,0.314773315,5800,2
42058,0,49,0.556510459,6166,0
42059,0,45,0.174115268,14834,2
42060,0,39,0.517233857,4583,1
42061,0,40,2873,,0
42062,0,53,0.348496086,12134,2
42063,0,60,0.51995667,12000,1
42064,0,29,4439,,0
42065,0,38,0.324478649,12083,0
42066,0,71,0.146023468,2300,0
42067,0,62,0.237569823,14500,2
42068,0,40,0.755692085,8300,3
42069,0,62,2439,,0
42070,0,62,1062,1,0
42071,0,39,0.401813092,7500,0
42072,0,45,0.069082535,8250,2
42073,0,87,0.000849958,20000,0
42074,0,31,0.463768116,2000,1
42075,0,36,0.733706517,2500,0
42076,0,50,0.74748924,2090,0
42077,0,68,4291,,0
42078,0,35,0.014968656,160000,2
42079,0,44,0.264255212,3980,0
42080,1,51,0.293369219,4086,0
42081,0,64,1740,,0
42082,1,33,0.430443367,5570,2
42083,0,52,0.261602452,4567,0
42084,0,73,0.007746127,4001,0
42085,0,32,0.1936008,8000,0
42086,1,66,0.698974359,7799,2
42087,0,67,0.428081703,7000,0
42088,0,63,0.696776418,5800,1
42089,0,52,0.363432303,9800,0
42090,1,28,0.448387903,4000,3
42091,0,32,664,,
42092,0,28,0.379666402,1258,0
42093,0,68,0.376014991,1600,0
42094,0,44,0.799561083,4100,3
42095,0,47,0.60340643,23484,2
42096,0,60,2058,,0
42097,0,47,0.101305042,10650,1
42098,0,52,0.231110563,8112,2
42099,0,60,28,,0
42100,0,43,0.281870596,4682,0
42101,0,62,30,,0
42102,0,63,0.103057905,7684,0
42103,0,24,0.120055517,1440,0
42104,1,54,5001,,0
42105,0,49,0.454463154,5522,2
42106,0,67,0.203811746,5141,1
42107,0,85,0.009075527,6500,0
42108,0,64,0.228626179,6783,1
42109,0,75,0.004882514,3276,0
42110,0,38,9164,,0
42111,0,74,0.005450942,4035,0
42112,0,39,873,,4
42113,0,64,1416,,0
42114,0,31,0.301395543,4800,2
42115,0,60,0.001212121,3299,0
42116,0,52,0.290598291,6200,0
42117,0,59,0.269033433,12083,0
42118,1,57,4056,,0
42119,0,51,0.205980066,8427,0
42120,0,42,0.494712555,5200,3
42121,0,35,0.000666556,6000,0
42122,0,44,0.795195341,4120,2
42123,1,59,1293,,
42124,0,40,0.212505951,6300,2
42125,1,66,7181,,0
42126,0,47,0.087564974,2500,1
42127,0,67,0.261601456,2197,0
42128,0,49,19,,0
42129,0,29,0.250681694,5500,0
42130,0,33,0.094374833,3750,0
42131,0,24,0.241594996,2557,0
42132,0,51,0.301515733,10423,0
42133,0,33,0.139715071,4000,0
42134,1,29,0.538120731,5416,2
42135,0,67,2206,,0
42136,1,48,1360,,0
42137,0,64,40,,0
42138,0,40,0.807846845,4230,1
42139,0,64,0.325173986,8333,1
42140,1,47,0.160528935,7032,2
42141,0,84,82,,0
42142,0,42,0.011660189,1800,0
42143,0,63,1646,0,0
42144,0,39,0.506749518,14000,1
42145,0,41,0.48557555,3500,1
42146,0,64,0.558800922,1300,0
42147,0,47,0.434970318,3705,4
42148,0,62,107,,0
42149,0,72,0.131373725,5000,1
42150,0,35,0.148450491,6614,0
42151,0,69,0.567858035,4000,0
42152,0,46,0.00091832,19600,2
42153,0,46,0.026338148,9415,0
42154,0,69,128,,0
42155,0,71,23,,0
42156,0,43,0.196408061,9576,1
42157,0,54,0.198000328,6100,1
42158,0,69,0.188934387,10500,0
42159,0,30,0.643112063,1400,0
42160,0,57,0.523066711,3012,0
42161,0,54,0.008904375,5165,0
42162,0,47,0.104946754,5821,3
42163,0,35,0.08312536,5208,2
42164,0,48,0.016569062,7000,4
42165,0,67,0.257155838,2200,0
42166,0,55,0.113954418,2500,0
42167,0,58,3592,,9
42168,0,65,0.005415538,4800,0
42169,0,33,0.630123292,3000,0
42170,0,43,1.133216696,4000,0
42171,0,81,1118,,0
42172,0,35,0.383455103,4242,2
42173,0,49,0.468271335,4112,0
42174,0,57,0.307639367,4358,0
42175,0,82,0.003938041,3808,0
42176,1,27,0.279125567,3750,0
42177,0,45,0.098980204,5000,0
42178,0,40,0.268872802,2900,0
42179,0,56,0.259521402,8900,0
42180,1,32,721,,0
42181,0,54,1421,,0
42182,0,41,0,692,0
42183,0,56,3210,,
42184,0,74,0.510146645,6750,0
42185,0,36,487,,0
42186,0,49,0.685100548,4375,2
42187,0,79,0.347361079,4300,0
42188,1,66,1.92453426,3166,0
42189,0,46,0.162449235,3200,1
42190,0,51,356,,0
42191,0,34,0.775690358,4417,0
42192,0,37,0.295122709,6437,0
42193,0,62,0.270623742,4969,1
42194,0,56,0.012497917,6000,0
42195,0,44,0.106489351,10000,1
42196,0,68,1.306553911,945,0
42197,0,49,0.763809048,4000,1
42198,0,50,0.307866761,7054,0
42199,0,47,0.517827391,3000,3
42200,1,75,0.225887056,2000,0
42201,0,55,4344,,0
42202,0,65,871,,
42203,1,52,0.175149014,4361,7
42204,0,52,0.319902229,13500,1
42205,0,65,0.142558344,9083,2
42206,0,72,38,,0
42207,0,39,3586,,0
42208,0,23,0,820,0
42209,0,82,634,,1
42210,0,57,0.364338907,7116,0
42211,0,43,1321,,0
42212,0,73,0,1642,0
42213,0,33,0.026495584,6000,0
42214,0,50,0.536692661,5000,0
42215,0,33,0.278491859,3500,0
42216,0,51,0.166959321,6833,2
42217,0,76,0.399838937,9933,0
42218,0,39,0.175025853,7735,0
42219,0,50,0.06031746,2519,0
42220,0,56,1.043353064,6250,2
42221,0,53,0.372557928,8803,2
42222,0,64,574,,0
42223,0,57,0.07784649,5497,0
42224,0,28,1906,,2
42225,0,60,0.625570333,10300,2
42226,0,33,0.37872144,4332,0
42227,0,61,0.488536155,3401,0
42228,1,41,0.321886144,7570,0
42229,0,32,0.083976608,4274,1
42230,0,47,0.4916182,5845,2
42231,0,55,0.205518554,4203,0
42232,0,69,1496,0,0
42233,0,58,0.348278365,12400,1
42234,0,68,0.140705999,8101,0
42235,0,38,0.483172276,3000,3
42236,0,29,0.307466196,1700,1
42237,0,56,0.191488169,17833,0
42238,0,30,0.011497126,4000,1
42239,1,63,0.394614387,13108,0
42240,1,52,4621,,0
42241,0,59,0.365447517,6725,1
42242,0,63,2247,,0
42243,0,51,0.759387139,4633,2
42244,1,40,2049,,
42245,0,33,274,,0
42246,0,30,0.108254784,3500,0
42247,0,65,1187,,0
42248,0,64,0.142474558,5600,1
42249,0,55,1044,,0
42250,0,69,0.238346949,2080,0
42251,0,47,2696,,1
42252,0,65,0.359187442,3248,0
42253,0,47,0.502882014,8500,0
42254,0,25,0.268325189,2250,0
42255,0,45,0,2835,0
42256,0,67,0.408150664,3238,1
42257,0,59,1208,,0
42258,0,68,689,,
42259,0,50,0.220779221,4003,0
42260,0,26,1.249169435,300,0
42261,0,39,0.431696788,13666,3
42262,0,75,0.419222904,4400,0
42263,0,86,8,,0
42264,0,44,0.133790738,4080,1
42265,0,55,0.001599787,7500,0
42266,0,48,2840,,0
42267,0,36,0.500313283,3191,0
42268,0,29,0.47696737,3125,0
42269,0,67,0.460394199,2688,0
42270,0,68,0.618629767,8888,1
42271,0,54,3637,,1
42272,0,47,0.000666593,9000,6
42273,0,76,0.126291236,6001,0
42274,1,58,1.067012218,2700,0
42275,1,36,0.110245103,9750,0
42276,0,53,829,,0
42277,0,56,0.064526485,6229,1
42278,0,72,0.383764413,6417,0
42279,0,92,32,,0
42280,0,42,0.137046684,4990,2
42281,0,53,0.511407808,5916,0
42282,0,63,4202,,0
42283,0,44,0.08617313,7658,1
42284,0,31,0.273456295,2493,0
42285,0,56,0.774647887,2200,1
42286,0,56,0,,1
42287,0,39,0.464982352,5382,3
42288,0,50,0.468915964,3200,1
42289,0,41,1409,,0
42290,0,29,0.295299145,4679,0
42291,0,40,0.402112467,6721,0
42292,0,48,0.709572607,4000,2
42293,0,66,0.268505974,8118,0
42294,1,53,0.406259374,10000,4
42295,0,63,2611,,0
42296,0,67,0.010976275,14667,1
42297,0,41,0.473815773,8000,2
42298,0,65,0.358423267,10933,0
42299,0,26,0.07751938,5417,0
42300,0,39,977,,0
42301,1,30,0.414065104,9000,0
42302,0,52,0.59161055,7127,1
42303,0,54,0.58899593,19410,3
42304,0,34,0.143309448,6000,0
42305,0,65,0.549725137,2000,0
42306,0,54,0.636049724,5791,0
42307,0,31,0.366275716,5200,1
42308,0,45,0.298720417,8830,0
42309,0,64,2261,,0
42310,1,30,0.346896071,4300,0
42311,0,50,2.718080548,1166,2
42312,0,80,0.071219812,6500,0
42313,1,24,0.009024644,2880,0
42314,0,54,0.147387447,6085,0
42315,0,53,0.281781587,7700,2
42316,0,48,0.465561694,5429,0
42317,0,51,0.293121693,1889,0
42318,0,39,0.223462756,6000,1
42319,0,39,0.380089374,12083,2
42320,0,38,0.24831667,4900,1
42321,0,53,0.266690195,17000,2
42322,0,76,0.083923706,3669,0
42323,0,48,0.151428256,9066,2
42324,0,52,19257,,
42325,0,70,10,,0
42326,0,41,0.394598436,7034,1
42327,0,74,0.006932021,4471,0
42328,0,32,0.079793617,8333,1
42329,0,55,0.656137545,2500,0
42330,0,56,1964,,2
42331,0,51,0.445156125,3746,0
42332,0,55,0.548013681,3800,1
42333,0,63,0.130962067,25808,1
42334,0,42,0.285428643,4000,0
42335,1,41,0.212072435,2484,3
42336,0,59,0.370893729,13728,0
42337,0,54,0.023654439,2916,0
42338,0,37,0.191292424,5833,1
42339,0,43,0.344145745,4500,0
42340,0,56,0.385871376,3000,0
42341,0,72,0.092517007,1469,0
42342,0,48,0.300092638,18350,2
42343,1,32,0.372937294,1211,1
42344,0,59,0.050336149,5800,1
42345,0,62,0.286742651,5000,0
42346,0,61,0.361928508,75000,5
42347,0,38,0.002242152,10257,0
42348,0,50,0.814123917,1500,0
42349,0,50,0.522895421,5000,0
42350,0,75,0.235255282,9087,1
42351,0,39,4180,0,3
42352,0,40,0.304406649,10347,2
42353,0,62,0.45641623,5150,0
42354,0,49,0.299000233,4300,0
42355,0,55,0.25798053,8833,1
42356,0,47,0.417305023,19450,2
42357,0,59,0.197851894,5306,0
42358,0,53,0.308943089,6149,0
42359,0,50,0.25059984,3750,0
42360,0,43,97,,0
42361,0,47,0.355966098,10500,3
42362,0,51,0.556388629,3200,1
42363,0,53,0.351152861,17564,0
42364,0,47,0.278817312,7000,2
42365,0,45,0.341184313,9000,3
42366,1,39,0.35254915,3000,1
42367,1,26,0.815884477,3600,0
42368,1,31,0.1488,1249,2
42369,0,64,0.120106029,27916,0
42370,0,78,2503,,0
42371,0,45,0.605855856,4883,0
42372,0,93,107,,
42373,0,76,2867,,0
42374,0,78,0.013947591,2365,0
42375,0,42,0.345327336,4001,1
42376,0,61,0.225534673,13886,0
42377,0,31,0.516056934,8500,2
42378,0,79,4,,0
42379,0,43,0.898504102,6216,2
42380,0,58,0.403715889,5166,1
42381,0,44,0.329485834,6670,2
42382,0,48,1.028666667,1499,2
42383,0,46,0.381265089,10354,0
42384,1,55,0.46831472,7968,0
42385,0,29,0.338922928,3100,1
42386,0,71,0.148820327,3856,0
42387,0,49,0.114659142,6732,1
42388,0,62,0.00289971,10000,0
42389,0,46,1.001917546,3128,2
42390,0,69,1210,,
42391,0,80,65,,
42392,0,56,2478,,0
42393,0,44,1.710652921,2909,0
42394,0,63,0.045477261,2000,0
42395,0,58,0.303571429,5991,0
42396,0,72,0.001363791,2932,1
42397,0,63,0.005875022,5616,1
42398,0,53,0.336311423,4700,0
42399,0,62,0.230145371,6534,0
42400,0,66,0.016587565,84279,1
42401,0,67,1414,,0
42402,0,75,2833,,0
42403,0,56,0.27835957,14800,0
42404,0,68,1.34156051,1255,0
42405,0,51,1439,,1
42406,0,70,0.474521142,8300,0
42407,0,69,0.428850378,4096,0
42408,0,31,0.112084738,10384,0
42409,0,62,0.353264066,5100,0
42410,0,40,2249,,0
42411,0,40,0.074376125,45000,1
42412,0,37,0.218397372,7000,1
42413,0,53,0.1979901,6666,1
42414,0,58,0,,0
42415,0,35,0.413711021,4200,4
42416,0,53,0.415881177,3500,2
42417,0,64,0.408435341,8250,0
42418,0,34,0.092272443,4800,0
42419,0,50,0.515320334,4666,0
42420,0,82,0.005791992,7941,0
42421,0,52,0.032048442,6770,1
42422,0,65,0.002499375,4000,1
42423,0,69,0.011425307,3500,0
42424,0,61,0.462561342,6316,0
42425,0,86,29,,0
42426,0,30,14,,0
42427,0,50,0.229824311,7000,3
42428,0,40,0.009651475,3729,0
42429,0,37,0.462143153,2416,0
42430,0,40,0.402060294,6600,3
42431,0,51,0.203493592,12250,3
42432,0,88,11,,
42433,1,47,0.08668942,7324,0
42434,0,35,0.123256691,2652,0
42435,0,40,0.274312059,6940,0
42436,0,73,372,,0
42437,0,46,0.738380652,4754,2
42438,0,47,0.196019975,13416,0
42439,0,48,0.170788305,15082,3
42440,0,36,0.59122466,3600,3
42441,0,53,1.229723992,4709,0
42442,0,67,0.007116105,2669,0
42443,0,48,0.764207981,17366,1
42444,0,54,0.495722037,9583,0
42445,0,40,1.452775775,4160,3
42446,1,28,0,900,3
42447,0,54,0.521495701,5000,0
42448,0,50,1175,,0
42449,0,47,0.858237974,9000,0
42450,0,40,0.396188096,6400,3
42451,1,51,7457,,0
42452,0,53,0.284075264,2178,3
42453,1,30,0.202389661,4100,2
42454,0,37,1.009998,5000,4
42455,0,55,0.262661333,13248,1
42456,0,38,473,,3
42457,0,28,487,,0
42458,0,81,0.017391304,4484,0
42459,0,64,0.021218344,1460,0
42460,0,45,0.356938806,6650,2
42461,1,54,0.678680721,2940,0
42462,0,31,0.15266996,4250,1
42463,0,61,1887,,2
42464,0,61,1652,,0
42465,0,63,1431,,0
42466,0,62,0.182837051,9100,1
42467,0,35,0.450868373,4375,0
42468,0,48,0.202079445,3750,0
42469,1,49,0.001345895,5200,6
42470,0,51,0.432709716,6627,0
42471,0,56,0.318568646,9752,1
42472,0,63,0.337951721,7000,0
42473,0,72,20,,
42474,0,81,6.371833604,8605,0
42475,0,78,0.957183805,5581,1
42476,0,34,0.175164967,5000,1
42477,0,56,0.371052632,4179,1
42478,0,41,0.122200478,4598,0
42479,0,27,1.589595376,864,0
42480,0,23,0.037758831,820,0
42481,0,72,1403,,1
42482,0,64,0.364767518,4580,0
42483,0,59,1638,,0
42484,0,61,0.380326818,3120,0
42485,0,31,0.37438585,9158,0
42486,0,82,0.257790368,6000,0
42487,0,49,1284,,0
42488,0,33,2826,,0
42489,0,32,0.013417522,3800,0
42490,0,43,0.419594402,3500,2
42491,0,40,0.225539856,3750,3
42492,0,47,0.380165289,3750,2
42493,0,62,0.355081967,3049,2
42494,0,48,0.227590803,3000,0
42495,0,57,0.632023659,4733,0
42496,0,47,2061,,0
42497,0,32,0.562859796,5384,0
42498,0,62,0.141711921,11600,0
42499,0,54,1316,,
42500,0,58,0.27072758,6500,0
42501,0,37,0.650569886,6667,3
42502,0,39,0.250099987,7500,3
